training_seed,evaluation_seeds,target_coded_bits,batch_size,num_subcarriers,num_ofdm_symbols,bits_per_qam_symbol,code_rate,cp_len,snr_db,neural_ber,neural_fer,classical_ber,classical_fer
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,0,0.26587566031373694,1.0,0.27634296290910826,1.0
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,2,0.2218787549280464,1.0,0.22844349635155714,1.0
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,4,0.16356797836295314,0.9999989546681385,0.17281712200682553,1.0
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,6,0.006147367344506779,0.1299337050533433,0.059117236762930646,0.9474647566362894
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,8,3.4913284175429214e-06,8.153588519747364e-05,0.0017800394937043929,0.11121912873680007
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,10,0.0,0.0,2.887595934264925e-05,0.002109479696519254
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,12,0.0,0.0,5.67999200257126e-07,9.721586312006473e-05
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,14,0.0,0.0,8.33332160001652e-08,3.0314623983676098e-05
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,16,0.0,0.0,9.333320192018502e-09,1.1498650476566795e-05
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,18,0.0,0.0,2.6666629120052863e-09,4.1813274460242894e-06
0,1000;1001;1002,1000000000,100,64,14,4,0.5,16,20,0.0,0.0,5.333325824010573e-09,8.362654892048577e-06
